regParam,elasticNetParam,fitIntercept,accuracy,weighted F1
0.0,0.0,False,0.3914876530817105,0.3941645269796937
0.0,0.0,True,0.3964063441076089,0.40531376055645263
0.0,0.5,False,0.3914876530817105,0.3941645269796937
0.0,0.5,True,0.39590443686006827,0.40500564481700285
0.0,1.0,False,0.3914876530817105,0.3941645269796937
0.0,1.0,True,0.39560329251154386,0.40468611046400044
0.01,0.0,False,0.4168841598072676,0.46770775885153343
0.01,0.0,True,0.4081509737000602,0.4655762532416954
0.01,0.5,False,0.3697048785384461,0.4279343129481496
0.01,0.5,True,0.34721943384862475,0.3794961200011957
0.01,1.0,False,0.34882553704075486,0.4029802086471353
0.01,1.0,True,0.3227263601686408,0.3442884135602253
0.1,0.0,False,0.3792411162417185,0.454675244582442
0.1,0.0,True,0.36538847620959647,0.4336373123083412
0.1,0.5,False,0.29512146155390484,0.3355235643656044
0.1,0.5,True,0.2478417988355752,0.27097117981749064
0.1,1.0,False,0.22696245733788395,0.25583743157377264
0.1,1.0,True,0.20939570367396104,0.23889866331212048
